observationId,origin,causeType,causeIds,residentIds,activityExecutionIds,actionExecutionIds
observation_4303881c23897ace,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_c120c6ec6a02cf96,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_269b1a6d4687b265,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_2621e4725a95ca1f,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_ebbc105b0338e053,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_c88bc82ddbeafab1,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_457f77f0409b587c,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_ae2380c0a2c987d9,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_46b5c1796e84a3ad,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_506b2a8ac838b5c9,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_e42a6511ba521c2b,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_bf8e537f2399c611,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_e764d171aaed5d7d,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_f2619c19777e44a8,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_3c96d53b7743e5a2,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_4ff7629ed926dcce,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_3bc7027d9ae39ec3,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_be2724c5c4223127,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_c960ae43a8664057,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_04c230bbab1e328c,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_2e077a77c18fbb1d,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_145f896c9ca6390c,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_54459cfcf5b4c097,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_f98c905472ec506e,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_c8b86e994194d34f,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_ea218176d06769f1,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_b141a99a02d755f5,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_4cecefe0f04982b8,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_8ac5482d2aeb4b0b,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_b221c3fbe91e5639,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_d38ff90f4898504e,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_02b4f96d611c9c06,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_07b8fa6c491f5bb2,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_48d3ed5cc5146233,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_2ab11b90917ab0b8,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_c6967cd4dfe0d3c5,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_c215825c5bb129e1,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_e805c17748b49bfd,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_2385df1d6e3fb6ed,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_2b53ef1a8e6d5e52,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_c76cb7de74df670c,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_5833dd365314fef9,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_be424446b10bab22,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_4e643799301683b9,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_fac983e86ae07fbf,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_91ed783bd4aedea1,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_5e5dde847a042283,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_d9394be68da74b7b,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_0e9aa0f18f3cf9e9,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_e7d22abd588e2ef6,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_5b63d3421dc5c1a2,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_db94e007c0f1083e,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_01f5e197b380c069,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_6aa335d06bb125f4,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_93a73415d01ed74f,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_59af138dd8f8db98,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_b1a0ad4d24ca4646,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_f14825f351328d26,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_fc3238284dc7ea35,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_dd22526157f401d3,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_e5ec8fb3db79d274,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_16d3fcffe2fac31b,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_a0df59c23c63f38e,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_158d72052a3f9672,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_875e4744a997259d,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_f34287708934cf2f,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_519876fc875f1111,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_269a9e6681d0bee5,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_ab29836847057c41,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_af9d1a1e432ae21d,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_9db212350df67d40,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_4892492a34b91e81,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_bc141bf845e6908a,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_cef472f805050610,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_15d4ad9517eb87f6,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_ecaa4c203f13e0d7,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_f495d55c3d6671d7,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_175e4aab3c78411e,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_1df709f52abeeb64,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_40027d5a70934e6f,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_6013f94339fc81bf,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_37d9def3cc419b54,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_3794b1134e094703,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_f667f9ad4fc0670a,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_a3cc35e343c798f4,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_acc0e7cf7fce3166,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_f429462a8661da2c,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_d64025db2d6247ad,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_901de5bfa555abf1,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_41370a8c2dc7a893,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_4f3339e46ee23bc6,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_faeadd9f5aa0f103,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_d395800808018497,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_5ef0d380734268ad,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_b81f3e6b1d9fd14f,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_c08ff514b0135b0b,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_a20c5ab6815b0b4e,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_3da6989c26745e01,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_735f102ffb47bdf0,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_ca6189c45a6cc95e,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_7cdacc3dac236f6c,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_f64ebf0f1e67dfb8,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_e19bf6be26f821fd,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_71488a9fa2e12532,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_6e8e2a524dabc067,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_5409a2e90d51d7ce,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_84b9f4f9e80fdf3c,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_b4824c2bb513e556,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_1e7ee1d67dbb2a4a,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_3a678121bf7123b7,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_b99c17dce6ae23f4,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_393c003002d905cf,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_45f757aac1b5524d,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_9ff8960b18db13f8,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_3c3088db6f7427be,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_8e7ec857b9310dcf,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_67af15c11800737d,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_54e27ab45ec143be,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_7b11ccf191c0a9a4,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_e2ea6142f1596857,simulated_cause,action_execution,"[""action_5e2cb440bc24e157""]","[""tommaso_bianchi""]","[""activity_03a9fec63c1b1d97""]","[""action_5e2cb440bc24e157""]"
observation_661b871505eae175,simulated_cause,action_execution,"[""action_5e2cb440bc24e157""]","[""tommaso_bianchi""]","[""activity_03a9fec63c1b1d97""]","[""action_5e2cb440bc24e157""]"
observation_911d8f79ae86c749,simulated_cause,action_execution,"[""action_5e2cb440bc24e157""]","[""tommaso_bianchi""]","[""activity_03a9fec63c1b1d97""]","[""action_5e2cb440bc24e157""]"
observation_447815a78b1948c2,simulated_cause,action_execution,"[""action_5e2cb440bc24e157""]","[""tommaso_bianchi""]","[""activity_03a9fec63c1b1d97""]","[""action_5e2cb440bc24e157""]"
observation_71035c838ebcf06e,simulated_cause,action_execution,"[""action_5e2cb440bc24e157""]","[""tommaso_bianchi""]","[""activity_03a9fec63c1b1d97""]","[""action_5e2cb440bc24e157""]"
observation_f2a0fdae6a984cc2,simulated_cause,action_execution,"[""action_5e2cb440bc24e157""]","[""tommaso_bianchi""]","[""activity_03a9fec63c1b1d97""]","[""action_5e2cb440bc24e157""]"
observation_d7383622d4624663,simulated_cause,action_execution,"[""action_5e2cb440bc24e157""]","[""tommaso_bianchi""]","[""activity_03a9fec63c1b1d97""]","[""action_5e2cb440bc24e157""]"
observation_3ff88d80f223b28e,simulated_cause,action_execution,"[""action_5e2cb440bc24e157""]","[""tommaso_bianchi""]","[""activity_03a9fec63c1b1d97""]","[""action_5e2cb440bc24e157""]"
observation_a4d38f7e39d7dc23,simulated_cause,action_execution,"[""action_5e2cb440bc24e157""]","[""tommaso_bianchi""]","[""activity_03a9fec63c1b1d97""]","[""action_5e2cb440bc24e157""]"
observation_a1c1acf8c0189f2f,simulated_cause,action_execution,"[""action_5e2cb440bc24e157""]","[""tommaso_bianchi""]","[""activity_03a9fec63c1b1d97""]","[""action_5e2cb440bc24e157""]"
observation_5cfca29e913708bc,simulated_cause,action_execution,"[""action_5e2cb440bc24e157""]","[""tommaso_bianchi""]","[""activity_03a9fec63c1b1d97""]","[""action_5e2cb440bc24e157""]"
observation_2a74699ba0d7497a,simulated_cause,action_execution,"[""action_5e2cb440bc24e157""]","[""tommaso_bianchi""]","[""activity_03a9fec63c1b1d97""]","[""action_5e2cb440bc24e157""]"
observation_eec088054d9fba6f,simulated_cause,action_execution,"[""action_5e2cb440bc24e157""]","[""tommaso_bianchi""]","[""activity_03a9fec63c1b1d97""]","[""action_5e2cb440bc24e157""]"
observation_41ea71246040c22e,simulated_cause,action_execution,"[""action_57658f07e65a9cc0""]","[""tommaso_bianchi""]","[""activity_03a9fec63c1b1d97""]","[""action_57658f07e65a9cc0""]"
observation_be385d3f06e1e35f,simulated_cause,action_execution,"[""action_5e2cb440bc24e157""]","[""tommaso_bianchi""]","[""activity_03a9fec63c1b1d97""]","[""action_5e2cb440bc24e157""]"
observation_ef4311bda59b9366,simulated_cause,action_execution,"[""action_57658f07e65a9cc0""]","[""tommaso_bianchi""]","[""activity_03a9fec63c1b1d97""]","[""action_57658f07e65a9cc0""]"
observation_4c70a62e80dc289c,simulated_cause,action_execution,"[""action_57658f07e65a9cc0""]","[""tommaso_bianchi""]","[""activity_03a9fec63c1b1d97""]","[""action_57658f07e65a9cc0""]"
observation_fb3338af111c6d4b,simulated_cause,action_execution,"[""action_57658f07e65a9cc0""]","[""tommaso_bianchi""]","[""activity_03a9fec63c1b1d97""]","[""action_57658f07e65a9cc0""]"
observation_f813c11795fff792,simulated_cause,action_execution,"[""action_57658f07e65a9cc0""]","[""tommaso_bianchi""]","[""activity_03a9fec63c1b1d97""]","[""action_57658f07e65a9cc0""]"
observation_e7a25c8c73d806a9,simulated_cause,action_execution,"[""action_57658f07e65a9cc0""]","[""tommaso_bianchi""]","[""activity_03a9fec63c1b1d97""]","[""action_57658f07e65a9cc0""]"
observation_98a6849db06d1ef7,simulated_cause,action_execution,"[""action_57658f07e65a9cc0""]","[""tommaso_bianchi""]","[""activity_03a9fec63c1b1d97""]","[""action_57658f07e65a9cc0""]"
observation_e2dd019c80fde490,simulated_cause,action_execution,"[""action_57658f07e65a9cc0""]","[""tommaso_bianchi""]","[""activity_03a9fec63c1b1d97""]","[""action_57658f07e65a9cc0""]"
observation_85ac59dd7d2db339,simulated_cause,action_execution,"[""action_57658f07e65a9cc0""]","[""tommaso_bianchi""]","[""activity_03a9fec63c1b1d97""]","[""action_57658f07e65a9cc0""]"
observation_8b7aea1d83956e2f,simulated_cause,action_execution,"[""action_57658f07e65a9cc0""]","[""tommaso_bianchi""]","[""activity_03a9fec63c1b1d97""]","[""action_57658f07e65a9cc0""]"
observation_3e3aa26c897070dc,simulated_cause,action_execution,"[""action_57658f07e65a9cc0""]","[""tommaso_bianchi""]","[""activity_03a9fec63c1b1d97""]","[""action_57658f07e65a9cc0""]"
observation_3afa2d5864977762,simulated_cause,action_execution,"[""action_57658f07e65a9cc0""]","[""tommaso_bianchi""]","[""activity_03a9fec63c1b1d97""]","[""action_57658f07e65a9cc0""]"
observation_15f6d9c05c8576e0,simulated_cause,action_execution,"[""action_57658f07e65a9cc0""]","[""tommaso_bianchi""]","[""activity_03a9fec63c1b1d97""]","[""action_57658f07e65a9cc0""]"
observation_d617fc25ed6a86f4,simulated_cause,action_execution,"[""action_57658f07e65a9cc0""]","[""tommaso_bianchi""]","[""activity_03a9fec63c1b1d97""]","[""action_57658f07e65a9cc0""]"
observation_7131a84c817a7fe9,simulated_cause,action_execution,"[""action_57658f07e65a9cc0""]","[""tommaso_bianchi""]","[""activity_03a9fec63c1b1d97""]","[""action_57658f07e65a9cc0""]"
observation_23303fa9f6edcb40,simulated_cause,action_execution,"[""action_57658f07e65a9cc0""]","[""tommaso_bianchi""]","[""activity_03a9fec63c1b1d97""]","[""action_57658f07e65a9cc0""]"
observation_44cd7a640fafa270,simulated_cause,action_execution,"[""action_697c2e674853e365""]","[""tommaso_bianchi""]","[""activity_03a9fec63c1b1d97""]","[""action_697c2e674853e365""]"
observation_ab3747455b4a1aed,simulated_cause,action_execution,"[""action_697c2e674853e365""]","[""tommaso_bianchi""]","[""activity_03a9fec63c1b1d97""]","[""action_697c2e674853e365""]"
observation_fb929af0de7be375,simulated_cause,action_execution,"[""action_697c2e674853e365""]","[""tommaso_bianchi""]","[""activity_03a9fec63c1b1d97""]","[""action_697c2e674853e365""]"
observation_0aa0414eedf7377e,simulated_cause,action_execution,"[""action_697c2e674853e365""]","[""tommaso_bianchi""]","[""activity_03a9fec63c1b1d97""]","[""action_697c2e674853e365""]"
observation_405ff564fa74ba2a,simulated_cause,action_execution,"[""action_697c2e674853e365""]","[""tommaso_bianchi""]","[""activity_03a9fec63c1b1d97""]","[""action_697c2e674853e365""]"
observation_04dca3d0c6f81ec7,simulated_cause,action_execution,"[""action_697c2e674853e365""]","[""tommaso_bianchi""]","[""activity_03a9fec63c1b1d97""]","[""action_697c2e674853e365""]"
observation_e25ae8219e369f8e,simulated_cause,movement,"[""movement_8154e1fe0a2657b0""]","[""tommaso_bianchi""]","[""activity_52efb371df26d3f3""]","[""action_b1b4dac205544a82""]"
observation_85ac7c4d39599c33,simulated_cause,movement,"[""movement_8154e1fe0a2657b0""]","[""tommaso_bianchi""]","[""activity_52efb371df26d3f3""]","[""action_b1b4dac205544a82""]"
observation_5786271b2549b7de,simulated_cause,movement,"[""movement_8154e1fe0a2657b0""]","[""tommaso_bianchi""]","[""activity_52efb371df26d3f3""]","[""action_b1b4dac205544a82""]"
observation_ce78df6f737d4f99,simulated_cause,movement,"[""movement_8154e1fe0a2657b0""]","[""tommaso_bianchi""]","[""activity_52efb371df26d3f3""]","[""action_b1b4dac205544a82""]"
observation_667f5aa616045420,simulated_cause,action_execution,"[""action_aef34fcf5640138b""]","[""tommaso_bianchi""]","[""activity_52efb371df26d3f3""]","[""action_aef34fcf5640138b""]"
observation_df0c21233189ba6e,simulated_cause,action_execution,"[""action_aef34fcf5640138b""]","[""tommaso_bianchi""]","[""activity_52efb371df26d3f3""]","[""action_aef34fcf5640138b""]"
observation_efda861625341898,simulated_cause,action_execution,"[""action_aef34fcf5640138b""]","[""tommaso_bianchi""]","[""activity_52efb371df26d3f3""]","[""action_aef34fcf5640138b""]"
observation_8cd418b8b7025bcb,simulated_cause,action_execution,"[""action_aef34fcf5640138b""]","[""tommaso_bianchi""]","[""activity_52efb371df26d3f3""]","[""action_aef34fcf5640138b""]"
observation_3196e7f40b34dd7f,simulated_cause,action_execution,"[""action_aef34fcf5640138b""]","[""tommaso_bianchi""]","[""activity_52efb371df26d3f3""]","[""action_aef34fcf5640138b""]"
observation_ba2ff73116a5c2cb,simulated_cause,action_execution,"[""action_aef34fcf5640138b""]","[""tommaso_bianchi""]","[""activity_52efb371df26d3f3""]","[""action_aef34fcf5640138b""]"
observation_db9f4c7ab627869c,simulated_cause,action_execution,"[""action_aef34fcf5640138b""]","[""tommaso_bianchi""]","[""activity_52efb371df26d3f3""]","[""action_aef34fcf5640138b""]"
observation_ca85c8a911785b75,simulated_cause,action_execution,"[""action_aef34fcf5640138b""]","[""tommaso_bianchi""]","[""activity_52efb371df26d3f3""]","[""action_aef34fcf5640138b""]"
observation_9f369f7a39a89ee1,simulated_cause,action_execution,"[""action_aef34fcf5640138b""]","[""tommaso_bianchi""]","[""activity_52efb371df26d3f3""]","[""action_aef34fcf5640138b""]"
observation_99fe3a1bb8a12f5e,simulated_cause,action_execution,"[""action_aef34fcf5640138b""]","[""tommaso_bianchi""]","[""activity_52efb371df26d3f3""]","[""action_aef34fcf5640138b""]"
observation_d47c043be5be6c3a,simulated_cause,action_execution,"[""action_aef34fcf5640138b""]","[""tommaso_bianchi""]","[""activity_52efb371df26d3f3""]","[""action_aef34fcf5640138b""]"
observation_4b033fd8750b2ef1,simulated_cause,action_execution,"[""action_aef34fcf5640138b""]","[""tommaso_bianchi""]","[""activity_52efb371df26d3f3""]","[""action_aef34fcf5640138b""]"
observation_03655c05ed4e1d88,simulated_cause,action_execution,"[""action_aef34fcf5640138b""]","[""tommaso_bianchi""]","[""activity_52efb371df26d3f3""]","[""action_aef34fcf5640138b""]"
observation_31f67cf6fb8e6e73,simulated_cause,action_execution,"[""action_aef34fcf5640138b""]","[""tommaso_bianchi""]","[""activity_52efb371df26d3f3""]","[""action_aef34fcf5640138b""]"
observation_0070cac4d3de4ef5,simulated_cause,action_execution,"[""action_aef34fcf5640138b""]","[""tommaso_bianchi""]","[""activity_52efb371df26d3f3""]","[""action_aef34fcf5640138b""]"
observation_370139622b6bba94,simulated_cause,action_execution,"[""action_aef34fcf5640138b""]","[""tommaso_bianchi""]","[""activity_52efb371df26d3f3""]","[""action_aef34fcf5640138b""]"
observation_5080b5646478c9aa,simulated_cause,action_execution,"[""action_aef34fcf5640138b""]","[""tommaso_bianchi""]","[""activity_52efb371df26d3f3""]","[""action_aef34fcf5640138b""]"
observation_9b445da528c998b5,simulated_cause,action_execution,"[""action_aef34fcf5640138b""]","[""tommaso_bianchi""]","[""activity_52efb371df26d3f3""]","[""action_aef34fcf5640138b""]"
observation_6172e059f70f5d76,simulated_cause,action_execution,"[""action_aef34fcf5640138b""]","[""tommaso_bianchi""]","[""activity_52efb371df26d3f3""]","[""action_aef34fcf5640138b""]"
observation_c8ab6452e8aa2cf0,simulated_cause,action_execution,"[""action_aef34fcf5640138b""]","[""tommaso_bianchi""]","[""activity_52efb371df26d3f3""]","[""action_aef34fcf5640138b""]"
observation_d6fc1f9c959ee874,simulated_cause,action_execution,"[""action_aef34fcf5640138b""]","[""tommaso_bianchi""]","[""activity_52efb371df26d3f3""]","[""action_aef34fcf5640138b""]"
observation_4a38c0d7dbe662f2,simulated_cause,action_execution,"[""action_aef34fcf5640138b""]","[""tommaso_bianchi""]","[""activity_52efb371df26d3f3""]","[""action_aef34fcf5640138b""]"
observation_a35af225f7b66563,simulated_cause,action_execution,"[""action_aef34fcf5640138b""]","[""tommaso_bianchi""]","[""activity_52efb371df26d3f3""]","[""action_aef34fcf5640138b""]"
observation_cfc0cf7e5f83d96e,simulated_cause,action_execution,"[""action_aef34fcf5640138b""]","[""tommaso_bianchi""]","[""activity_52efb371df26d3f3""]","[""action_aef34fcf5640138b""]"
observation_c285bdedfbb6a568,simulated_cause,action_execution,"[""action_aef34fcf5640138b""]","[""tommaso_bianchi""]","[""activity_52efb371df26d3f3""]","[""action_aef34fcf5640138b""]"
observation_980a69e953e3e52f,simulated_cause,action_execution,"[""action_aef34fcf5640138b""]","[""tommaso_bianchi""]","[""activity_52efb371df26d3f3""]","[""action_aef34fcf5640138b""]"
observation_637cc3f5afd0800c,simulated_cause,action_execution,"[""action_aef34fcf5640138b""]","[""tommaso_bianchi""]","[""activity_52efb371df26d3f3""]","[""action_aef34fcf5640138b""]"
observation_04d3fbed61527b7e,simulated_cause,action_execution,"[""action_aef34fcf5640138b""]","[""tommaso_bianchi""]","[""activity_52efb371df26d3f3""]","[""action_aef34fcf5640138b""]"
observation_f7afad1cee66004b,simulated_cause,action_execution,"[""action_aef34fcf5640138b""]","[""tommaso_bianchi""]","[""activity_52efb371df26d3f3""]","[""action_aef34fcf5640138b""]"
observation_989ea584abd4b7cd,simulated_cause,action_execution,"[""action_aef34fcf5640138b""]","[""tommaso_bianchi""]","[""activity_52efb371df26d3f3""]","[""action_aef34fcf5640138b""]"
observation_087b4f11f874a987,simulated_cause,action_execution,"[""action_aef34fcf5640138b""]","[""tommaso_bianchi""]","[""activity_52efb371df26d3f3""]","[""action_aef34fcf5640138b""]"
observation_231b8eb2f2032eea,simulated_cause,action_execution,"[""action_aef34fcf5640138b""]","[""tommaso_bianchi""]","[""activity_52efb371df26d3f3""]","[""action_aef34fcf5640138b""]"
observation_e9e7619b98186f83,simulated_cause,action_execution,"[""action_aef34fcf5640138b""]","[""tommaso_bianchi""]","[""activity_52efb371df26d3f3""]","[""action_aef34fcf5640138b""]"
