movementId,actionExecutionId,actorId,startedAt,endedAt,originRegionId,destinationRegionId,distanceMeters,durationMicroseconds,waypoints
movement_1c238fb16b94c9ed,action_41086a74f4f7082f,tommaso_bianchi,2026-08-10T16:33:00+02:00,2026-08-10T16:33:21.875000+02:00,bedroom_01,hallway_01,26.25,21875000,"[{""at"":""2026-08-10T16:33:00+02:00"",""position"":{""x"":0.75,""y"":3.0},""regionId"":""bedroom_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T16:33:04.041667+02:00"",""position"":{""x"":5.6,""y"":3.0},""regionId"":""bedroom_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T16:33:04.708333+02:00"",""position"":{""x"":6.4,""y"":3.0},""regionId"":""bathroom_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T16:33:09.041667+02:00"",""position"":{""x"":11.6,""y"":3.0},""regionId"":""bathroom_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T16:33:09.708333+02:00"",""position"":{""x"":12.4,""y"":3.0},""regionId"":""kitchen_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T16:33:14.041667+02:00"",""position"":{""x"":17.6,""y"":3.0},""regionId"":""kitchen_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T16:33:14.708333+02:00"",""position"":{""x"":18.4,""y"":3.0},""regionId"":""living_room_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T16:33:19.041667+02:00"",""position"":{""x"":23.6,""y"":3.0},""regionId"":""living_room_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T16:33:19.708333+02:00"",""position"":{""x"":24.4,""y"":3.0},""regionId"":""hallway_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T16:33:21.875000+02:00"",""position"":{""x"":27.0,""y"":3.0},""regionId"":""hallway_01"",""traversalMode"":""walking""}]"
movement_7574d4f3ad7bb313,action_e1b00aea42e580cf,tommaso_bianchi,2026-08-10T16:39:00+02:00,2026-08-10T16:39:21.875000+02:00,hallway_01,bedroom_01,26.25,21875000,"[{""at"":""2026-08-10T16:39:00+02:00"",""position"":{""x"":27.0,""y"":3.0},""regionId"":""hallway_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T16:39:02.166667+02:00"",""position"":{""x"":24.4,""y"":3.0},""regionId"":""hallway_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T16:39:02.833333+02:00"",""position"":{""x"":23.6,""y"":3.0},""regionId"":""living_room_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T16:39:07.166667+02:00"",""position"":{""x"":18.4,""y"":3.0},""regionId"":""living_room_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T16:39:07.833333+02:00"",""position"":{""x"":17.6,""y"":3.0},""regionId"":""kitchen_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T16:39:12.166667+02:00"",""position"":{""x"":12.4,""y"":3.0},""regionId"":""kitchen_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T16:39:12.833333+02:00"",""position"":{""x"":11.6,""y"":3.0},""regionId"":""bathroom_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T16:39:17.166667+02:00"",""position"":{""x"":6.4,""y"":3.0},""regionId"":""bathroom_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T16:39:17.833333+02:00"",""position"":{""x"":5.6,""y"":3.0},""regionId"":""bedroom_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T16:39:21.875000+02:00"",""position"":{""x"":0.75,""y"":3.0},""regionId"":""bedroom_01"",""traversalMode"":""walking""}]"
movement_50b30deb5dc66d64,action_1caed63759860ff2,tommaso_bianchi,2026-08-10T17:00:00+02:00,2026-08-10T17:00:16.875000+02:00,bedroom_01,living_room_01,20.25,16875000,"[{""at"":""2026-08-10T17:00:00+02:00"",""position"":{""x"":0.75,""y"":3.0},""regionId"":""bedroom_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T17:00:04.041667+02:00"",""position"":{""x"":5.6,""y"":3.0},""regionId"":""bedroom_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T17:00:04.708333+02:00"",""position"":{""x"":6.4,""y"":3.0},""regionId"":""bathroom_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T17:00:09.041667+02:00"",""position"":{""x"":11.6,""y"":3.0},""regionId"":""bathroom_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T17:00:09.708333+02:00"",""position"":{""x"":12.4,""y"":3.0},""regionId"":""kitchen_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T17:00:14.041667+02:00"",""position"":{""x"":17.6,""y"":3.0},""regionId"":""kitchen_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T17:00:14.708333+02:00"",""position"":{""x"":18.4,""y"":3.0},""regionId"":""living_room_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T17:00:16.875000+02:00"",""position"":{""x"":21.0,""y"":3.0},""regionId"":""living_room_01"",""traversalMode"":""walking""}]"
movement_1196aa21978c54cc,action_7bfe468656b2ee6f,tommaso_bianchi,2026-08-10T19:30:00+02:00,2026-08-10T19:31:17.500000+02:00,living_room_01,neighborhood_park,518.0,77500000,"[{""at"":""2026-08-10T19:30:00+02:00"",""position"":{""x"":21.0,""y"":3.0},""regionId"":""living_room_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T19:30:00.388996+02:00"",""position"":{""x"":18.4,""y"":3.0},""regionId"":""living_room_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T19:30:00.508687+02:00"",""position"":{""x"":17.6,""y"":3.0},""regionId"":""kitchen_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T19:30:01.286680+02:00"",""position"":{""x"":12.4,""y"":3.0},""regionId"":""kitchen_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T19:30:01.406371+02:00"",""position"":{""x"":11.6,""y"":3.0},""regionId"":""bathroom_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T19:30:02.184363+02:00"",""position"":{""x"":6.4,""y"":3.0},""regionId"":""bathroom_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T19:30:02.304054+02:00"",""position"":{""x"":5.6,""y"":3.0},""regionId"":""bedroom_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T19:30:02.693050+02:00"",""position"":{""x"":3.0,""y"":3.0},""regionId"":""bedroom_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T19:30:05.929694+02:00"",""position"":{""x"":15.0,""y"":21.0},""regionId"":""neighborhood_park"",""traversalMode"":""transport""}]"
movement_023d9844d72d9e4d,action_c4321c8f1de9864a,tommaso_bianchi,2026-08-10T19:41:15+02:00,2026-08-10T19:42:19.375000+02:00,neighborhood_park,bedroom_01,502.25,64375000,"[{""at"":""2026-08-10T19:41:15+02:00"",""position"":{""x"":15.0,""y"":21.0},""regionId"":""neighborhood_park"",""traversalMode"":""walking""},{""at"":""2026-08-10T19:41:17.772811+02:00"",""position"":{""x"":3.0,""y"":3.0},""regionId"":""bedroom_01"",""traversalMode"":""transport""},{""at"":""2026-08-10T19:41:18.061200+02:00"",""position"":{""x"":0.75,""y"":3.0},""regionId"":""bedroom_01"",""traversalMode"":""walking""}]"
movement_ccdfa14759df6606,action_733a8388721cbc35,tommaso_bianchi,2026-08-10T19:52:30+02:00,2026-08-10T19:53:34.375000+02:00,bedroom_01,neighborhood_park,502.25,64375000,"[{""at"":""2026-08-10T19:52:30+02:00"",""position"":{""x"":0.75,""y"":3.0},""regionId"":""bedroom_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T19:52:30.288390+02:00"",""position"":{""x"":3.0,""y"":3.0},""regionId"":""bedroom_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T19:52:33.061200+02:00"",""position"":{""x"":15.0,""y"":21.0},""regionId"":""neighborhood_park"",""traversalMode"":""transport""}]"
movement_458e0d839b0a46d8,action_2c3e8fdc3156d620,tommaso_bianchi,2026-08-10T20:20:00+02:00,2026-08-10T20:21:22.500000+02:00,neighborhood_park,hallway_01,524.0,82500000,"[{""at"":""2026-08-10T20:20:00+02:00"",""position"":{""x"":15.0,""y"":21.0},""regionId"":""neighborhood_park"",""traversalMode"":""walking""},{""at"":""2026-08-10T20:20:03.406007+02:00"",""position"":{""x"":3.0,""y"":3.0},""regionId"":""bedroom_01"",""traversalMode"":""transport""},{""at"":""2026-08-10T20:20:03.815359+02:00"",""position"":{""x"":5.6,""y"":3.0},""regionId"":""bedroom_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T20:20:03.941313+02:00"",""position"":{""x"":6.4,""y"":3.0},""regionId"":""bathroom_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T20:20:04.760015+02:00"",""position"":{""x"":11.6,""y"":3.0},""regionId"":""bathroom_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T20:20:04.885969+02:00"",""position"":{""x"":12.4,""y"":3.0},""regionId"":""kitchen_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T20:20:05.704672+02:00"",""position"":{""x"":17.6,""y"":3.0},""regionId"":""kitchen_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T20:20:05.830626+02:00"",""position"":{""x"":18.4,""y"":3.0},""regionId"":""living_room_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T20:20:06.649328+02:00"",""position"":{""x"":23.6,""y"":3.0},""regionId"":""living_room_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T20:20:06.775282+02:00"",""position"":{""x"":24.4,""y"":3.0},""regionId"":""hallway_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T20:20:07.184633+02:00"",""position"":{""x"":27.0,""y"":3.0},""regionId"":""hallway_01"",""traversalMode"":""walking""}]"
movement_5024762532dcc1ad,action_9f77dd49f3f15aa2,tommaso_bianchi,2026-08-10T20:23:00+02:00,2026-08-10T20:23:21.875000+02:00,hallway_01,bedroom_01,26.25,21875000,"[{""at"":""2026-08-10T20:23:00+02:00"",""position"":{""x"":27.0,""y"":3.0},""regionId"":""hallway_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T20:23:02.166667+02:00"",""position"":{""x"":24.4,""y"":3.0},""regionId"":""hallway_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T20:23:02.833333+02:00"",""position"":{""x"":23.6,""y"":3.0},""regionId"":""living_room_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T20:23:07.166667+02:00"",""position"":{""x"":18.4,""y"":3.0},""regionId"":""living_room_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T20:23:07.833333+02:00"",""position"":{""x"":17.6,""y"":3.0},""regionId"":""kitchen_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T20:23:12.166667+02:00"",""position"":{""x"":12.4,""y"":3.0},""regionId"":""kitchen_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T20:23:12.833333+02:00"",""position"":{""x"":11.6,""y"":3.0},""regionId"":""bathroom_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T20:23:17.166667+02:00"",""position"":{""x"":6.4,""y"":3.0},""regionId"":""bathroom_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T20:23:17.833333+02:00"",""position"":{""x"":5.6,""y"":3.0},""regionId"":""bedroom_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T20:23:21.875000+02:00"",""position"":{""x"":0.75,""y"":3.0},""regionId"":""bedroom_01"",""traversalMode"":""walking""}]"
movement_b473a9cd09665eb2,action_d1d3d4fec790de58,tommaso_bianchi,2026-08-10T20:29:00+02:00,2026-08-10T20:29:21.875000+02:00,bedroom_01,hallway_01,26.25,21875000,"[{""at"":""2026-08-10T20:29:00+02:00"",""position"":{""x"":0.75,""y"":3.0},""regionId"":""bedroom_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T20:29:04.041667+02:00"",""position"":{""x"":5.6,""y"":3.0},""regionId"":""bedroom_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T20:29:04.708333+02:00"",""position"":{""x"":6.4,""y"":3.0},""regionId"":""bathroom_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T20:29:09.041667+02:00"",""position"":{""x"":11.6,""y"":3.0},""regionId"":""bathroom_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T20:29:09.708333+02:00"",""position"":{""x"":12.4,""y"":3.0},""regionId"":""kitchen_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T20:29:14.041667+02:00"",""position"":{""x"":17.6,""y"":3.0},""regionId"":""kitchen_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T20:29:14.708333+02:00"",""position"":{""x"":18.4,""y"":3.0},""regionId"":""living_room_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T20:29:19.041667+02:00"",""position"":{""x"":23.6,""y"":3.0},""regionId"":""living_room_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T20:29:19.708333+02:00"",""position"":{""x"":24.4,""y"":3.0},""regionId"":""hallway_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T20:29:21.875000+02:00"",""position"":{""x"":27.0,""y"":3.0},""regionId"":""hallway_01"",""traversalMode"":""walking""}]"
movement_dc27cc23255b27a3,action_c22fa4d59bbe5acf,tommaso_bianchi,2026-08-10T20:32:00+02:00,2026-08-10T20:32:21.875000+02:00,hallway_01,bedroom_01,26.25,21875000,"[{""at"":""2026-08-10T20:32:00+02:00"",""position"":{""x"":27.0,""y"":3.0},""regionId"":""hallway_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T20:32:02.166667+02:00"",""position"":{""x"":24.4,""y"":3.0},""regionId"":""hallway_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T20:32:02.833333+02:00"",""position"":{""x"":23.6,""y"":3.0},""regionId"":""living_room_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T20:32:07.166667+02:00"",""position"":{""x"":18.4,""y"":3.0},""regionId"":""living_room_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T20:32:07.833333+02:00"",""position"":{""x"":17.6,""y"":3.0},""regionId"":""kitchen_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T20:32:12.166667+02:00"",""position"":{""x"":12.4,""y"":3.0},""regionId"":""kitchen_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T20:32:12.833333+02:00"",""position"":{""x"":11.6,""y"":3.0},""regionId"":""bathroom_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T20:32:17.166667+02:00"",""position"":{""x"":6.4,""y"":3.0},""regionId"":""bathroom_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T20:32:17.833333+02:00"",""position"":{""x"":5.6,""y"":3.0},""regionId"":""bedroom_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T20:32:21.875000+02:00"",""position"":{""x"":0.75,""y"":3.0},""regionId"":""bedroom_01"",""traversalMode"":""walking""}]"
movement_e0900f6e58d8f83a,action_0b02e90ab8de882a,tommaso_bianchi,2026-08-10T21:30:00+02:00,2026-08-10T21:30:06.875000+02:00,bedroom_01,bathroom_01,8.25,6875000,"[{""at"":""2026-08-10T21:30:00+02:00"",""position"":{""x"":0.75,""y"":3.0},""regionId"":""bedroom_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T21:30:04.041667+02:00"",""position"":{""x"":5.6,""y"":3.0},""regionId"":""bedroom_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T21:30:04.708333+02:00"",""position"":{""x"":6.4,""y"":3.0},""regionId"":""bathroom_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T21:30:06.875000+02:00"",""position"":{""x"":9.0,""y"":3.0},""regionId"":""bathroom_01"",""traversalMode"":""walking""}]"
movement_7b2683cdc491d545,action_5b31e8674ddcf8de,tommaso_bianchi,2026-08-10T22:30:00+02:00,2026-08-10T22:30:05+02:00,bathroom_01,bedroom_01,6.0,5000000,"[{""at"":""2026-08-10T22:30:00+02:00"",""position"":{""x"":9.0,""y"":3.0},""regionId"":""bathroom_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T22:30:02.166667+02:00"",""position"":{""x"":6.4,""y"":3.0},""regionId"":""bathroom_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T22:30:02.833333+02:00"",""position"":{""x"":5.6,""y"":3.0},""regionId"":""bedroom_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T22:30:05+02:00"",""position"":{""x"":3.0,""y"":3.0},""regionId"":""bedroom_01"",""traversalMode"":""walking""}]"
movement_7444a249494e2258,action_c1eade5e8a7336ba,tommaso_bianchi,2026-08-11T06:46:15+02:00,2026-08-11T06:46:15.833333+02:00,bedroom_01,bedroom_01,1.0,833333,"[{""at"":""2026-08-11T06:46:15+02:00"",""position"":{""x"":3.0,""y"":3.0},""regionId"":""bedroom_01"",""traversalMode"":""walking""},{""at"":""2026-08-11T06:46:15.833333+02:00"",""position"":{""x"":4.0,""y"":3.0},""regionId"":""bedroom_01"",""traversalMode"":""walking""}]"
movement_157714b072a46aa3,action_b4847ed99db0fb04,tommaso_bianchi,2026-08-11T06:47:30+02:00,2026-08-11T06:47:31.666667+02:00,bedroom_01,bedroom_01,2.0,1666667,"[{""at"":""2026-08-11T06:47:30+02:00"",""position"":{""x"":4.0,""y"":3.0},""regionId"":""bedroom_01"",""traversalMode"":""walking""},{""at"":""2026-08-11T06:47:31.666667+02:00"",""position"":{""x"":2.0,""y"":3.0},""regionId"":""bedroom_01"",""traversalMode"":""walking""}]"
movement_a8a78822eb496254,action_d9f1dbdec796f0ad,tommaso_bianchi,2026-08-11T06:48:45+02:00,2026-08-11T06:48:46.666667+02:00,bedroom_01,bedroom_01,2.0,1666667,"[{""at"":""2026-08-11T06:48:45+02:00"",""position"":{""x"":2.0,""y"":3.0},""regionId"":""bedroom_01"",""traversalMode"":""walking""},{""at"":""2026-08-11T06:48:46.666667+02:00"",""position"":{""x"":4.0,""y"":3.0},""regionId"":""bedroom_01"",""traversalMode"":""walking""}]"
