transitionId,at,subjectType,subjectId,fact,previousValue,value,operation,causality
state_27ce68c5e374e686,2026-08-10T13:35:00+02:00,resident,tommaso_bianchi,posture,standing,standing,set,"{""causeId"":""action_ca6a3ee80721633a"",""causeType"":""action_effect""}"
state_4b7ce5303d37d562,2026-08-10T13:35:00+02:00,resident,tommaso_bianchi,posture,standing,standing,set,"{""causeId"":""action_ca6a3ee80721633a"",""causeType"":""action_effect""}"
state_c8000d99c5fc4f66,2026-08-10T16:15:00+02:00,resident,tommaso_bianchi,execution_state,performing_activity,moving,set,"{""causeId"":""action_36a2d52edfe1d411"",""causeType"":""process_edge""}"
state_9975b38d958d03b4,2026-08-10T16:16:22.500000+02:00,resident,tommaso_bianchi,execution_state,moving,performing_activity,set,"{""causeId"":""action_36a2d52edfe1d411"",""causeType"":""process_edge""}"
state_01bb92018bd35ecb,2026-08-10T16:21:00+02:00,resident,tommaso_bianchi,execution_state,performing_activity,moving,set,"{""causeId"":""action_bca88f19379a9e7d"",""causeType"":""process_edge""}"
state_9063af9729894542,2026-08-10T16:21:00+02:00,resident,tommaso_bianchi,location,garden_workplace,home_entrance,set,"{""causeId"":""action_36a2d52edfe1d411"",""causeType"":""action_effect""}"
state_9290f5a467ba87d7,2026-08-10T16:21:21.875000+02:00,resident,tommaso_bianchi,execution_state,moving,performing_activity,set,"{""causeId"":""action_bca88f19379a9e7d"",""causeType"":""process_edge""}"
state_10c0b7c05f5f9dad,2026-08-10T16:27:00+02:00,resident,tommaso_bianchi,at_home,False,True,set,"{""causeId"":""action_bca88f19379a9e7d"",""causeType"":""action_effect""}"
state_15b6471180b013f8,2026-08-10T16:33:00+02:00,resident,tommaso_bianchi,at_home,True,False,set,"{""causeId"":""action_2f82d9d19b121f48"",""causeType"":""action_effect""}"
state_3a08dd8610e1f808,2026-08-10T16:33:00+02:00,resident,tommaso_bianchi,execution_state,performing_activity,moving,set,"{""causeId"":""action_41086a74f4f7082f"",""causeType"":""process_edge""}"
state_28ba4bc126100861,2026-08-10T16:33:21.875000+02:00,resident,tommaso_bianchi,execution_state,moving,performing_activity,set,"{""causeId"":""action_41086a74f4f7082f"",""causeType"":""process_edge""}"
state_450567a9dda72df3,2026-08-10T16:39:00+02:00,resident,tommaso_bianchi,execution_state,performing_activity,moving,set,"{""causeId"":""action_e1b00aea42e580cf"",""causeType"":""process_edge""}"
state_b645bd66b0aadf0c,2026-08-10T16:39:00+02:00,resident,tommaso_bianchi,location,home_entrance,hallway_01,set,"{""causeId"":""action_41086a74f4f7082f"",""causeType"":""action_effect""}"
state_cf384baf229f5b6a,2026-08-10T16:39:21.875000+02:00,resident,tommaso_bianchi,execution_state,moving,performing_activity,set,"{""causeId"":""action_e1b00aea42e580cf"",""causeType"":""process_edge""}"
state_4f497bd806122edd,2026-08-10T16:45:00+02:00,resident,tommaso_bianchi,at_home,False,True,set,"{""causeId"":""action_e1b00aea42e580cf"",""causeType"":""action_effect""}"
state_37bbc77e986e17d3,2026-08-10T17:00:00+02:00,resident,tommaso_bianchi,execution_state,performing_activity,moving,set,"{""causeId"":""action_1caed63759860ff2"",""causeType"":""process_edge""}"
state_45720cc40ba799ad,2026-08-10T17:00:16.875000+02:00,resident,tommaso_bianchi,execution_state,moving,performing_activity,set,"{""causeId"":""action_1caed63759860ff2"",""causeType"":""process_edge""}"
state_57813dc07e22b646,2026-08-10T17:24:00+02:00,resident,tommaso_bianchi,location,hallway_01,living_room_01,set,"{""causeId"":""action_1caed63759860ff2"",""causeType"":""action_effect""}"
state_6db560e63afe760d,2026-08-10T17:48:00+02:00,resident,tommaso_bianchi,posture,standing,sitting,set,"{""causeId"":""action_f58dc6c8106e5e27"",""causeType"":""action_effect""}"
state_b32ed7607b34ded9,2026-08-10T17:48:00+02:00,resident,tommaso_bianchi,posture,standing,sitting,set,"{""causeId"":""action_f58dc6c8106e5e27"",""causeType"":""action_effect""}"
state_16d3f515fda583c3,2026-08-10T18:36:00+02:00,resident,tommaso_bianchi,posture,sitting,sitting,set,"{""causeId"":""action_fd62e1e441ae8663"",""causeType"":""action_effect""}"
state_42336f756ef5ae3c,2026-08-10T18:36:00+02:00,resident,tommaso_bianchi,posture,sitting,sitting,set,"{""causeId"":""action_fd62e1e441ae8663"",""causeType"":""action_effect""}"
state_c687013ec086f198,2026-08-10T19:30:00+02:00,resident,tommaso_bianchi,execution_state,performing_activity,moving,set,"{""causeId"":""action_7bfe468656b2ee6f"",""causeType"":""process_edge""}"
state_3c3f6779a743065f,2026-08-10T19:31:17.500000+02:00,resident,tommaso_bianchi,execution_state,moving,performing_activity,set,"{""causeId"":""action_7bfe468656b2ee6f"",""causeType"":""process_edge""}"
state_087f4b2f82e7e39b,2026-08-10T19:41:15+02:00,resident,tommaso_bianchi,execution_state,performing_activity,moving,set,"{""causeId"":""action_c4321c8f1de9864a"",""causeType"":""process_edge""}"
state_c6b986327f8cd4af,2026-08-10T19:41:15+02:00,resident,tommaso_bianchi,location,living_room_01,home_exit,set,"{""causeId"":""action_7bfe468656b2ee6f"",""causeType"":""action_effect""}"
state_b693fb8ff0044a68,2026-08-10T19:42:19.375000+02:00,resident,tommaso_bianchi,execution_state,moving,performing_activity,set,"{""causeId"":""action_c4321c8f1de9864a"",""causeType"":""process_edge""}"
state_00a5d0f1339c2d32,2026-08-10T19:52:30+02:00,resident,tommaso_bianchi,execution_state,performing_activity,moving,set,"{""causeId"":""action_733a8388721cbc35"",""causeType"":""process_edge""}"
state_5b577c0a7de25bac,2026-08-10T19:52:30+02:00,resident,tommaso_bianchi,at_home,True,False,set,"{""causeId"":""action_c4321c8f1de9864a"",""causeType"":""action_effect""}"
state_f4491fbfc059bb95,2026-08-10T19:53:34.375000+02:00,resident,tommaso_bianchi,execution_state,moving,performing_activity,set,"{""causeId"":""action_733a8388721cbc35"",""causeType"":""process_edge""}"
state_4be50eef8470c689,2026-08-10T20:03:45+02:00,resident,tommaso_bianchi,location,home_exit,neighborhood_park,set,"{""causeId"":""action_733a8388721cbc35"",""causeType"":""action_effect""}"
state_0f1345cfa6207dbb,2026-08-10T20:20:00+02:00,resident,tommaso_bianchi,execution_state,performing_activity,moving,set,"{""causeId"":""action_2c3e8fdc3156d620"",""causeType"":""process_edge""}"
state_75536616e1d7c9f4,2026-08-10T20:21:22.500000+02:00,resident,tommaso_bianchi,execution_state,moving,performing_activity,set,"{""causeId"":""action_2c3e8fdc3156d620"",""causeType"":""process_edge""}"
state_4037043d12b8a25f,2026-08-10T20:23:00+02:00,resident,tommaso_bianchi,location,neighborhood_park,home_entrance,set,"{""causeId"":""action_2c3e8fdc3156d620"",""causeType"":""action_effect""}"
state_82fe15369fd9d225,2026-08-10T20:23:00+02:00,resident,tommaso_bianchi,execution_state,performing_activity,moving,set,"{""causeId"":""action_9f77dd49f3f15aa2"",""causeType"":""process_edge""}"
state_49fa6aa52e56e744,2026-08-10T20:23:21.875000+02:00,resident,tommaso_bianchi,execution_state,moving,performing_activity,set,"{""causeId"":""action_9f77dd49f3f15aa2"",""causeType"":""process_edge""}"
state_1dc106967aa3a6cf,2026-08-10T20:26:00+02:00,resident,tommaso_bianchi,at_home,False,True,set,"{""causeId"":""action_9f77dd49f3f15aa2"",""causeType"":""action_effect""}"
state_87c84256ea17d055,2026-08-10T20:29:00+02:00,resident,tommaso_bianchi,execution_state,performing_activity,moving,set,"{""causeId"":""action_d1d3d4fec790de58"",""causeType"":""process_edge""}"
state_a729b45512ed8965,2026-08-10T20:29:00+02:00,resident,tommaso_bianchi,at_home,True,False,set,"{""causeId"":""action_cbe82931461530f8"",""causeType"":""action_effect""}"
state_d5fb2b124f6cebcf,2026-08-10T20:29:21.875000+02:00,resident,tommaso_bianchi,execution_state,moving,performing_activity,set,"{""causeId"":""action_d1d3d4fec790de58"",""causeType"":""process_edge""}"
state_4804cb73f3ed1469,2026-08-10T20:32:00+02:00,resident,tommaso_bianchi,execution_state,performing_activity,moving,set,"{""causeId"":""action_c22fa4d59bbe5acf"",""causeType"":""process_edge""}"
state_b928dcd1624256db,2026-08-10T20:32:00+02:00,resident,tommaso_bianchi,location,home_entrance,hallway_01,set,"{""causeId"":""action_d1d3d4fec790de58"",""causeType"":""action_effect""}"
state_d75343e14aaf0f95,2026-08-10T20:32:21.875000+02:00,resident,tommaso_bianchi,execution_state,moving,performing_activity,set,"{""causeId"":""action_c22fa4d59bbe5acf"",""causeType"":""process_edge""}"
state_9eb24823d48b646d,2026-08-10T20:35:00+02:00,resident,tommaso_bianchi,at_home,False,True,set,"{""causeId"":""action_c22fa4d59bbe5acf"",""causeType"":""action_effect""}"
state_c20bb15228c82395,2026-08-10T21:30:00+02:00,resident,tommaso_bianchi,execution_state,performing_activity,moving,set,"{""causeId"":""action_0b02e90ab8de882a"",""causeType"":""process_edge""}"
state_fa557467a2f8d2c7,2026-08-10T21:30:06.875000+02:00,resident,tommaso_bianchi,execution_state,moving,performing_activity,set,"{""causeId"":""action_0b02e90ab8de882a"",""causeType"":""process_edge""}"
state_0a5a5ad61a84afc8,2026-08-10T21:37:30+02:00,resident,tommaso_bianchi,location,hallway_01,bathroom_01,set,"{""causeId"":""action_0b02e90ab8de882a"",""causeType"":""action_effect""}"
state_7b2256d22746f646,2026-08-10T22:30:00+02:00,resident,tommaso_bianchi,execution_state,performing_activity,moving,set,"{""causeId"":""action_5b31e8674ddcf8de"",""causeType"":""process_edge""}"
state_5e0bb2d328a7527e,2026-08-10T22:30:05+02:00,resident,tommaso_bianchi,execution_state,moving,performing_activity,set,"{""causeId"":""action_5b31e8674ddcf8de"",""causeType"":""process_edge""}"
state_5f2bf6bab6e14701,2026-08-11T01:10:00+02:00,resident,tommaso_bianchi,location,bathroom_01,bedroom_01,set,"{""causeId"":""action_5b31e8674ddcf8de"",""causeType"":""action_effect""}"
state_adf508dfc291fef4,2026-08-11T03:50:00+02:00,resident,tommaso_bianchi,posture,sitting,lying,set,"{""causeId"":""action_b4c4ce36e757b712"",""causeType"":""action_effect""}"
state_c8c01108b82a9ec3,2026-08-11T03:50:00+02:00,resident,tommaso_bianchi,posture,sitting,lying,set,"{""causeId"":""action_b4c4ce36e757b712"",""causeType"":""action_effect""}"
state_50f5afbd0e8adb9c,2026-08-11T06:35:00+02:00,resident,tommaso_bianchi,location,bedroom_01,bedroom_01,set,"{""causeId"":""action_134e062bbd0eaffa"",""causeType"":""action_effect""}"
state_2ff62c3580a2b90a,2026-08-11T06:40:00+02:00,resident,tommaso_bianchi,posture,lying,standing,set,"{""causeId"":""action_84d652aa43852a14"",""causeType"":""action_effect""}"
state_7dbb31cd2c2f877e,2026-08-11T06:40:00+02:00,resident,tommaso_bianchi,posture,lying,standing,set,"{""causeId"":""action_84d652aa43852a14"",""causeType"":""action_effect""}"
state_46178abff40bcc9d,2026-08-11T06:46:15+02:00,resident,tommaso_bianchi,location,bedroom_01,bedroom_01,set,"{""causeId"":""action_b2b1aa1b74ba9f53"",""causeType"":""action_effect""}"
state_a2438cf263c99d68,2026-08-11T06:46:15+02:00,resident,tommaso_bianchi,execution_state,performing_activity,moving,set,"{""causeId"":""action_c1eade5e8a7336ba"",""causeType"":""process_edge""}"
state_535eba7ebfbf6895,2026-08-11T06:46:15.833333+02:00,resident,tommaso_bianchi,execution_state,moving,performing_activity,set,"{""causeId"":""action_c1eade5e8a7336ba"",""causeType"":""process_edge""}"
state_53744fa5fe1bb18d,2026-08-11T06:47:30+02:00,resident,tommaso_bianchi,carrying.medication,False,True,set,"{""causeId"":""action_c1eade5e8a7336ba"",""causeType"":""action_effect""}"
state_c03c9e4d0966915e,2026-08-11T06:47:30+02:00,resident,tommaso_bianchi,execution_state,performing_activity,moving,set,"{""causeId"":""action_b4847ed99db0fb04"",""causeType"":""process_edge""}"
state_811e9497ac00ee6c,2026-08-11T06:47:31.666667+02:00,resident,tommaso_bianchi,execution_state,moving,performing_activity,set,"{""causeId"":""action_b4847ed99db0fb04"",""causeType"":""process_edge""}"
state_33c5e079f26204b0,2026-08-11T06:48:45+02:00,resident,tommaso_bianchi,execution_state,performing_activity,moving,set,"{""causeId"":""action_d9f1dbdec796f0ad"",""causeType"":""process_edge""}"
state_945aa43ec81ff30f,2026-08-11T06:48:46.666667+02:00,resident,tommaso_bianchi,execution_state,moving,performing_activity,set,"{""causeId"":""action_d9f1dbdec796f0ad"",""causeType"":""process_edge""}"
state_a33d6df39f4843c6,2026-08-11T06:50:00+02:00,resident,tommaso_bianchi,execution_state,performing_activity,moving,set,"{""causeId"":""action_4c3808e150e4d083"",""causeType"":""process_edge""}"
state_d3c8fcd9fb2c5bf1,2026-08-11T06:50:00+02:00,resident,tommaso_bianchi,carrying.medication,True,False,set,"{""causeId"":""action_d9f1dbdec796f0ad"",""causeType"":""action_effect""}"
state_682780320d47e4ed,2026-08-11T06:50:04.166667+02:00,resident,tommaso_bianchi,execution_state,moving,performing_activity,set,"{""causeId"":""action_4c3808e150e4d083"",""causeType"":""process_edge""}"
state_f38f09ccee72de7b,2026-08-11T06:54:00+02:00,resident,tommaso_bianchi,location,bedroom_01,bathroom_01,set,"{""causeId"":""action_4c3808e150e4d083"",""causeType"":""action_effect""}"
state_dfe311377b753249,2026-08-11T07:02:00+02:00,entity,service_bathroom_01,active,False,True,set,"{""causeId"":""action_d2d6f14782d74da0"",""causeType"":""action_effect""}"
state_0e94193e598746be,2026-08-11T07:10:00+02:00,entity,service_bathroom_01,active,True,False,set,"{""causeId"":""action_ef1fcb66371b3a85"",""causeType"":""action_effect""}"
state_8111d5107992a372,2026-08-11T07:15:00+02:00,resident,tommaso_bianchi,execution_state,performing_activity,moving,set,"{""causeId"":""action_01ac70cbbf833797"",""causeType"":""process_edge""}"
state_aa55efb32a97c0ae,2026-08-11T07:15:05+02:00,resident,tommaso_bianchi,execution_state,moving,performing_activity,set,"{""causeId"":""action_01ac70cbbf833797"",""causeType"":""process_edge""}"
state_a691929b6d1d648a,2026-08-11T07:17:16.363636+02:00,resident,tommaso_bianchi,location,bathroom_01,kitchen_01,set,"{""causeId"":""action_01ac70cbbf833797"",""causeType"":""action_effect""}"
state_fa98d4607c507243,2026-08-11T07:19:32.727272+02:00,entity,service_kitchen_01,open,False,True,set,"{""causeId"":""action_17805f1506d21f0e"",""causeType"":""action_effect""}"
state_ecff0e13c128fba6,2026-08-11T07:21:49.090908+02:00,resident,tommaso_bianchi,carrying.food_preparation_area,False,True,set,"{""causeId"":""action_a0b7e04de67d4167"",""causeType"":""action_effect""}"
state_0ea1a4d8b22d859f,2026-08-11T07:24:05.454544+02:00,entity,service_kitchen_01,open,True,False,set,"{""causeId"":""action_940d3de877ebef2d"",""causeType"":""action_effect""}"
state_29eecb93b62bdd9a,2026-08-11T07:26:21.818180+02:00,entity,service_kitchen_01,active,False,True,set,"{""causeId"":""action_6efc1feb6f69a117"",""causeType"":""action_effect""}"
state_66068b35d111aa67,2026-08-11T07:30:54.545452+02:00,entity,service_kitchen_01,active,True,False,set,"{""causeId"":""action_7493ccb1850faec4"",""causeType"":""action_effect""}"
state_03e6aa00c1bde6ec,2026-08-11T07:33:10.909088+02:00,resident,tommaso_bianchi,carrying.food_preparation_area,True,False,set,"{""causeId"":""action_5bf1cc9b3512b641"",""causeType"":""action_effect""}"
state_10ac768ac5a9fe35,2026-08-11T07:35:27.272724+02:00,resident,tommaso_bianchi,posture,standing,sitting,set,"{""causeId"":""action_6c9aad1214650d74"",""causeType"":""action_effect""}"
state_e4dd0e2a813740c8,2026-08-11T07:35:27.272724+02:00,resident,tommaso_bianchi,posture,standing,sitting,set,"{""causeId"":""action_6c9aad1214650d74"",""causeType"":""action_effect""}"
state_e90312e5f97324e3,2026-08-11T07:37:43.636360+02:00,entity,service_kitchen_01,service_kitchen_01.consumption_area.consumed,1,2,increment,"{""causeId"":""action_4a4bc95464f335ec"",""causeType"":""action_effect""}"
state_1319755d1d0914e8,2026-08-11T07:39:59.999996+02:00,resident,tommaso_bianchi,posture,sitting,standing,set,"{""causeId"":""action_e5dc070c76074ce5"",""causeType"":""action_effect""}"
state_c54850199838b088,2026-08-11T07:39:59.999996+02:00,resident,tommaso_bianchi,posture,sitting,standing,set,"{""causeId"":""action_e5dc070c76074ce5"",""causeType"":""action_effect""}"
state_8319219184a97364,2026-08-11T07:45:00+02:00,resident,tommaso_bianchi,execution_state,performing_activity,moving,set,"{""causeId"":""action_14dcbffca71b2bba"",""causeType"":""process_edge""}"
state_fd2856e672d68a33,2026-08-11T07:46:12.500000+02:00,resident,tommaso_bianchi,execution_state,moving,performing_activity,set,"{""causeId"":""action_14dcbffca71b2bba"",""causeType"":""process_edge""}"
state_94eaaea41c962141,2026-08-11T07:55:00+02:00,resident,tommaso_bianchi,execution_state,performing_activity,moving,set,"{""causeId"":""action_9268caeb3cb50380"",""causeType"":""process_edge""}"
state_e3415007c47234c8,2026-08-11T07:55:00+02:00,resident,tommaso_bianchi,location,kitchen_01,home_exit,set,"{""causeId"":""action_14dcbffca71b2bba"",""causeType"":""action_effect""}"
state_4a6305eb6c56f514,2026-08-11T07:56:04.375000+02:00,resident,tommaso_bianchi,execution_state,moving,performing_activity,set,"{""causeId"":""action_9268caeb3cb50380"",""causeType"":""process_edge""}"
state_36e5bfcfa08373e6,2026-08-11T08:05:00+02:00,resident,tommaso_bianchi,execution_state,performing_activity,moving,set,"{""causeId"":""action_5da28ab0ba109499"",""causeType"":""process_edge""}"
state_5db38a96a14277ec,2026-08-11T08:05:00+02:00,resident,tommaso_bianchi,at_home,True,False,set,"{""causeId"":""action_9268caeb3cb50380"",""causeType"":""action_effect""}"
state_c23f45c70ff3b38a,2026-08-11T08:06:04.375000+02:00,resident,tommaso_bianchi,execution_state,moving,performing_activity,set,"{""causeId"":""action_5da28ab0ba109499"",""causeType"":""process_edge""}"
state_15f64eda5dbceb7c,2026-08-11T08:15:00+02:00,resident,tommaso_bianchi,location,home_exit,garden_workplace,set,"{""causeId"":""action_5da28ab0ba109499"",""causeType"":""action_effect""}"
state_6a5bb6da09ba6993,2026-08-11T10:55:00+02:00,resident,tommaso_bianchi,location,garden_workplace,garden_workplace,set,"{""causeId"":""action_306ac18692f6fc94"",""causeType"":""action_effect""}"
state_3384168dbfd3fece,2026-08-11T13:35:00+02:00,resident,tommaso_bianchi,posture,standing,standing,set,"{""causeId"":""action_baa6bc8c329c861c"",""causeType"":""action_effect""}"
state_5f142d5efc6171af,2026-08-11T13:35:00+02:00,resident,tommaso_bianchi,posture,standing,standing,set,"{""causeId"":""action_baa6bc8c329c861c"",""causeType"":""action_effect""}"
state_f4d99ab20e41e3d3,2026-08-11T16:15:00+02:00,resident,tommaso_bianchi,execution_state,performing_activity,moving,set,"{""causeId"":""action_3fa00c7a45f60995"",""causeType"":""process_edge""}"
state_80ca5ea3e874acba,2026-08-11T16:16:22.500000+02:00,resident,tommaso_bianchi,execution_state,moving,performing_activity,set,"{""causeId"":""action_3fa00c7a45f60995"",""causeType"":""process_edge""}"
state_b69f2b7da68c9be8,2026-08-11T16:21:00+02:00,resident,tommaso_bianchi,execution_state,performing_activity,moving,set,"{""causeId"":""action_11ea9a9037410721"",""causeType"":""process_edge""}"
state_fa64bdbdb46430c1,2026-08-11T16:21:00+02:00,resident,tommaso_bianchi,location,garden_workplace,home_entrance,set,"{""causeId"":""action_3fa00c7a45f60995"",""causeType"":""action_effect""}"
state_daae7890c7759462,2026-08-11T16:21:21.875000+02:00,resident,tommaso_bianchi,execution_state,moving,performing_activity,set,"{""causeId"":""action_11ea9a9037410721"",""causeType"":""process_edge""}"
state_38de168db41972dd,2026-08-11T16:27:00+02:00,resident,tommaso_bianchi,at_home,False,True,set,"{""causeId"":""action_11ea9a9037410721"",""causeType"":""action_effect""}"
