observationId,sensorId,sensorType,observedAt,measurement,value,unit,quality
observation_d959371bf0620c8d,temperature_bedroom_01,temperature,2026-08-10T00:45:00+02:00,temperature,19.0,celsius,nominal
observation_48b807db45bdb600,temperature_hallway_01,temperature,2026-08-10T00:45:00+02:00,temperature,19.0,celsius,nominal
observation_827c0e6c8395bfa1,temperature_kitchen_01,temperature,2026-08-10T00:45:00+02:00,temperature,19.0,celsius,nominal
observation_45aab1e285a7cf62,temperature_living_room_01,temperature,2026-08-10T00:45:00+02:00,temperature,19.0,celsius,nominal
observation_b832f3a77da7ce74,temperature_bathroom_01,temperature,2026-08-10T01:00:00+02:00,temperature,19.0,celsius,nominal
observation_4303881c23897ace,temperature_bedroom_01,temperature,2026-08-10T01:00:00+02:00,temperature,19.0,celsius,nominal
observation_c120c6ec6a02cf96,temperature_hallway_01,temperature,2026-08-10T01:00:00+02:00,temperature,19.0,celsius,nominal
observation_269b1a6d4687b265,temperature_kitchen_01,temperature,2026-08-10T01:00:00+02:00,temperature,19.0,celsius,nominal
observation_2621e4725a95ca1f,temperature_living_room_01,temperature,2026-08-10T01:00:00+02:00,temperature,19.0,celsius,nominal
observation_ebbc105b0338e053,temperature_bathroom_01,temperature,2026-08-10T01:15:00+02:00,temperature,19.0,celsius,nominal
observation_c88bc82ddbeafab1,temperature_bedroom_01,temperature,2026-08-10T01:15:00+02:00,temperature,19.0,celsius,nominal
observation_457f77f0409b587c,temperature_hallway_01,temperature,2026-08-10T01:15:00+02:00,temperature,19.0,celsius,nominal
observation_ae2380c0a2c987d9,temperature_kitchen_01,temperature,2026-08-10T01:15:00+02:00,temperature,19.0,celsius,nominal
observation_46b5c1796e84a3ad,temperature_living_room_01,temperature,2026-08-10T01:15:00+02:00,temperature,19.0,celsius,nominal
observation_506b2a8ac838b5c9,temperature_bathroom_01,temperature,2026-08-10T01:30:00+02:00,temperature,19.0,celsius,nominal
observation_e42a6511ba521c2b,temperature_bedroom_01,temperature,2026-08-10T01:30:00+02:00,temperature,19.0,celsius,nominal
observation_bf8e537f2399c611,temperature_hallway_01,temperature,2026-08-10T01:30:00+02:00,temperature,19.0,celsius,nominal
observation_e764d171aaed5d7d,temperature_kitchen_01,temperature,2026-08-10T01:30:00+02:00,temperature,19.0,celsius,nominal
observation_f2619c19777e44a8,temperature_living_room_01,temperature,2026-08-10T01:30:00+02:00,temperature,19.0,celsius,nominal
observation_3c96d53b7743e5a2,temperature_bathroom_01,temperature,2026-08-10T01:45:00+02:00,temperature,19.0,celsius,nominal
observation_4ff7629ed926dcce,temperature_bedroom_01,temperature,2026-08-10T01:45:00+02:00,temperature,19.0,celsius,nominal
observation_3bc7027d9ae39ec3,temperature_hallway_01,temperature,2026-08-10T01:45:00+02:00,temperature,19.0,celsius,nominal
observation_be2724c5c4223127,temperature_kitchen_01,temperature,2026-08-10T01:45:00+02:00,temperature,19.0,celsius,nominal
observation_c960ae43a8664057,temperature_living_room_01,temperature,2026-08-10T01:45:00+02:00,temperature,19.0,celsius,nominal
observation_04c230bbab1e328c,temperature_bathroom_01,temperature,2026-08-10T02:00:00+02:00,temperature,19.0,celsius,nominal
observation_2e077a77c18fbb1d,temperature_bedroom_01,temperature,2026-08-10T02:00:00+02:00,temperature,19.0,celsius,nominal
observation_145f896c9ca6390c,temperature_hallway_01,temperature,2026-08-10T02:00:00+02:00,temperature,19.0,celsius,nominal
observation_54459cfcf5b4c097,temperature_kitchen_01,temperature,2026-08-10T02:00:00+02:00,temperature,19.0,celsius,nominal
observation_f98c905472ec506e,temperature_living_room_01,temperature,2026-08-10T02:00:00+02:00,temperature,19.0,celsius,nominal
observation_c8b86e994194d34f,temperature_bathroom_01,temperature,2026-08-10T02:15:00+02:00,temperature,19.0,celsius,nominal
observation_ea218176d06769f1,temperature_bedroom_01,temperature,2026-08-10T02:15:00+02:00,temperature,19.0,celsius,nominal
observation_b141a99a02d755f5,temperature_hallway_01,temperature,2026-08-10T02:15:00+02:00,temperature,19.0,celsius,nominal
observation_4cecefe0f04982b8,temperature_kitchen_01,temperature,2026-08-10T02:15:00+02:00,temperature,19.0,celsius,nominal
observation_8ac5482d2aeb4b0b,temperature_living_room_01,temperature,2026-08-10T02:15:00+02:00,temperature,19.0,celsius,nominal
observation_b221c3fbe91e5639,temperature_bathroom_01,temperature,2026-08-10T02:30:00+02:00,temperature,19.0,celsius,nominal
observation_d38ff90f4898504e,temperature_bedroom_01,temperature,2026-08-10T02:30:00+02:00,temperature,19.0,celsius,nominal
observation_02b4f96d611c9c06,temperature_hallway_01,temperature,2026-08-10T02:30:00+02:00,temperature,19.0,celsius,nominal
observation_07b8fa6c491f5bb2,temperature_kitchen_01,temperature,2026-08-10T02:30:00+02:00,temperature,19.0,celsius,nominal
observation_48d3ed5cc5146233,temperature_living_room_01,temperature,2026-08-10T02:30:00+02:00,temperature,19.0,celsius,nominal
observation_2ab11b90917ab0b8,temperature_bathroom_01,temperature,2026-08-10T02:45:00+02:00,temperature,19.0,celsius,nominal
observation_c6967cd4dfe0d3c5,temperature_bedroom_01,temperature,2026-08-10T02:45:00+02:00,temperature,19.0,celsius,nominal
observation_c215825c5bb129e1,temperature_hallway_01,temperature,2026-08-10T02:45:00+02:00,temperature,19.0,celsius,nominal
observation_e805c17748b49bfd,temperature_kitchen_01,temperature,2026-08-10T02:45:00+02:00,temperature,19.0,celsius,nominal
observation_2385df1d6e3fb6ed,temperature_living_room_01,temperature,2026-08-10T02:45:00+02:00,temperature,19.0,celsius,nominal
observation_2b53ef1a8e6d5e52,temperature_bathroom_01,temperature,2026-08-10T03:00:00+02:00,temperature,19.0,celsius,nominal
observation_c76cb7de74df670c,temperature_bedroom_01,temperature,2026-08-10T03:00:00+02:00,temperature,19.0,celsius,nominal
observation_5833dd365314fef9,temperature_hallway_01,temperature,2026-08-10T03:00:00+02:00,temperature,19.0,celsius,nominal
observation_be424446b10bab22,temperature_kitchen_01,temperature,2026-08-10T03:00:00+02:00,temperature,19.0,celsius,nominal
observation_4e643799301683b9,temperature_living_room_01,temperature,2026-08-10T03:00:00+02:00,temperature,19.0,celsius,nominal
observation_fac983e86ae07fbf,temperature_bathroom_01,temperature,2026-08-10T03:15:00+02:00,temperature,19.0,celsius,nominal
observation_91ed783bd4aedea1,temperature_bedroom_01,temperature,2026-08-10T03:15:00+02:00,temperature,19.0,celsius,nominal
observation_5e5dde847a042283,temperature_hallway_01,temperature,2026-08-10T03:15:00+02:00,temperature,19.0,celsius,nominal
observation_d9394be68da74b7b,temperature_kitchen_01,temperature,2026-08-10T03:15:00+02:00,temperature,19.0,celsius,nominal
observation_0e9aa0f18f3cf9e9,temperature_living_room_01,temperature,2026-08-10T03:15:00+02:00,temperature,19.0,celsius,nominal
observation_e7d22abd588e2ef6,temperature_bathroom_01,temperature,2026-08-10T03:30:00+02:00,temperature,19.0,celsius,nominal
observation_5b63d3421dc5c1a2,temperature_bedroom_01,temperature,2026-08-10T03:30:00+02:00,temperature,19.0,celsius,nominal
observation_db94e007c0f1083e,temperature_hallway_01,temperature,2026-08-10T03:30:00+02:00,temperature,19.0,celsius,nominal
observation_01f5e197b380c069,temperature_kitchen_01,temperature,2026-08-10T03:30:00+02:00,temperature,19.0,celsius,nominal
observation_6aa335d06bb125f4,temperature_living_room_01,temperature,2026-08-10T03:30:00+02:00,temperature,19.0,celsius,nominal
observation_93a73415d01ed74f,temperature_bathroom_01,temperature,2026-08-10T03:45:00+02:00,temperature,19.0,celsius,nominal
observation_59af138dd8f8db98,temperature_bedroom_01,temperature,2026-08-10T03:45:00+02:00,temperature,19.0,celsius,nominal
observation_b1a0ad4d24ca4646,temperature_hallway_01,temperature,2026-08-10T03:45:00+02:00,temperature,19.0,celsius,nominal
observation_f14825f351328d26,temperature_kitchen_01,temperature,2026-08-10T03:45:00+02:00,temperature,19.0,celsius,nominal
observation_fc3238284dc7ea35,temperature_living_room_01,temperature,2026-08-10T03:45:00+02:00,temperature,19.0,celsius,nominal
observation_dd22526157f401d3,temperature_bathroom_01,temperature,2026-08-10T04:00:00+02:00,temperature,19.0,celsius,nominal
observation_e5ec8fb3db79d274,temperature_bedroom_01,temperature,2026-08-10T04:00:00+02:00,temperature,19.0,celsius,nominal
observation_16d3fcffe2fac31b,temperature_hallway_01,temperature,2026-08-10T04:00:00+02:00,temperature,19.0,celsius,nominal
observation_a0df59c23c63f38e,temperature_kitchen_01,temperature,2026-08-10T04:00:00+02:00,temperature,19.0,celsius,nominal
observation_158d72052a3f9672,temperature_living_room_01,temperature,2026-08-10T04:00:00+02:00,temperature,19.0,celsius,nominal
observation_875e4744a997259d,temperature_bathroom_01,temperature,2026-08-10T04:15:00+02:00,temperature,19.0,celsius,nominal
observation_f34287708934cf2f,temperature_bedroom_01,temperature,2026-08-10T04:15:00+02:00,temperature,19.0,celsius,nominal
observation_519876fc875f1111,temperature_hallway_01,temperature,2026-08-10T04:15:00+02:00,temperature,19.0,celsius,nominal
observation_269a9e6681d0bee5,temperature_kitchen_01,temperature,2026-08-10T04:15:00+02:00,temperature,19.0,celsius,nominal
observation_ab29836847057c41,temperature_living_room_01,temperature,2026-08-10T04:15:00+02:00,temperature,19.0,celsius,nominal
observation_af9d1a1e432ae21d,temperature_bathroom_01,temperature,2026-08-10T04:30:00+02:00,temperature,19.0,celsius,nominal
observation_9db212350df67d40,temperature_bedroom_01,temperature,2026-08-10T04:30:00+02:00,temperature,19.0,celsius,nominal
observation_4892492a34b91e81,temperature_hallway_01,temperature,2026-08-10T04:30:00+02:00,temperature,19.0,celsius,nominal
observation_bc141bf845e6908a,temperature_kitchen_01,temperature,2026-08-10T04:30:00+02:00,temperature,19.0,celsius,nominal
observation_cef472f805050610,temperature_living_room_01,temperature,2026-08-10T04:30:00+02:00,temperature,19.0,celsius,nominal
observation_15d4ad9517eb87f6,temperature_bathroom_01,temperature,2026-08-10T04:45:00+02:00,temperature,19.0,celsius,nominal
observation_ecaa4c203f13e0d7,temperature_bedroom_01,temperature,2026-08-10T04:45:00+02:00,temperature,19.0,celsius,nominal
observation_f495d55c3d6671d7,temperature_hallway_01,temperature,2026-08-10T04:45:00+02:00,temperature,19.0,celsius,nominal
observation_175e4aab3c78411e,temperature_kitchen_01,temperature,2026-08-10T04:45:00+02:00,temperature,19.0,celsius,nominal
observation_1df709f52abeeb64,temperature_living_room_01,temperature,2026-08-10T04:45:00+02:00,temperature,19.0,celsius,nominal
observation_40027d5a70934e6f,temperature_bathroom_01,temperature,2026-08-10T05:00:00+02:00,temperature,19.0,celsius,nominal
observation_6013f94339fc81bf,temperature_bedroom_01,temperature,2026-08-10T05:00:00+02:00,temperature,19.0,celsius,nominal
observation_37d9def3cc419b54,temperature_hallway_01,temperature,2026-08-10T05:00:00+02:00,temperature,19.0,celsius,nominal
observation_3794b1134e094703,temperature_kitchen_01,temperature,2026-08-10T05:00:00+02:00,temperature,19.0,celsius,nominal
observation_f667f9ad4fc0670a,temperature_living_room_01,temperature,2026-08-10T05:00:00+02:00,temperature,19.0,celsius,nominal
observation_a3cc35e343c798f4,temperature_bathroom_01,temperature,2026-08-10T05:15:00+02:00,temperature,19.0,celsius,nominal
observation_acc0e7cf7fce3166,temperature_bedroom_01,temperature,2026-08-10T05:15:00+02:00,temperature,19.0,celsius,nominal
observation_f429462a8661da2c,temperature_hallway_01,temperature,2026-08-10T05:15:00+02:00,temperature,19.0,celsius,nominal
observation_d64025db2d6247ad,temperature_kitchen_01,temperature,2026-08-10T05:15:00+02:00,temperature,19.0,celsius,nominal
observation_901de5bfa555abf1,temperature_living_room_01,temperature,2026-08-10T05:15:00+02:00,temperature,19.0,celsius,nominal
observation_41370a8c2dc7a893,temperature_bathroom_01,temperature,2026-08-10T05:30:00+02:00,temperature,19.0,celsius,nominal
observation_4f3339e46ee23bc6,temperature_bedroom_01,temperature,2026-08-10T05:30:00+02:00,temperature,19.0,celsius,nominal
observation_faeadd9f5aa0f103,temperature_hallway_01,temperature,2026-08-10T05:30:00+02:00,temperature,19.0,celsius,nominal
observation_d395800808018497,temperature_kitchen_01,temperature,2026-08-10T05:30:00+02:00,temperature,19.0,celsius,nominal
observation_5ef0d380734268ad,temperature_living_room_01,temperature,2026-08-10T05:30:00+02:00,temperature,19.0,celsius,nominal
observation_b81f3e6b1d9fd14f,temperature_bathroom_01,temperature,2026-08-10T05:45:00+02:00,temperature,19.0,celsius,nominal
observation_c08ff514b0135b0b,temperature_bedroom_01,temperature,2026-08-10T05:45:00+02:00,temperature,19.0,celsius,nominal
observation_a20c5ab6815b0b4e,temperature_hallway_01,temperature,2026-08-10T05:45:00+02:00,temperature,19.0,celsius,nominal
observation_3da6989c26745e01,temperature_kitchen_01,temperature,2026-08-10T05:45:00+02:00,temperature,19.0,celsius,nominal
observation_735f102ffb47bdf0,temperature_living_room_01,temperature,2026-08-10T05:45:00+02:00,temperature,19.0,celsius,nominal
observation_ca6189c45a6cc95e,temperature_bathroom_01,temperature,2026-08-10T06:00:00+02:00,temperature,19.5,celsius,nominal
observation_7cdacc3dac236f6c,temperature_bedroom_01,temperature,2026-08-10T06:00:00+02:00,temperature,19.5,celsius,nominal
observation_f64ebf0f1e67dfb8,temperature_hallway_01,temperature,2026-08-10T06:00:00+02:00,temperature,19.5,celsius,nominal
observation_e19bf6be26f821fd,temperature_kitchen_01,temperature,2026-08-10T06:00:00+02:00,temperature,19.5,celsius,nominal
observation_71488a9fa2e12532,temperature_living_room_01,temperature,2026-08-10T06:00:00+02:00,temperature,19.5,celsius,nominal
observation_6e8e2a524dabc067,temperature_bathroom_01,temperature,2026-08-10T06:15:00+02:00,temperature,19.5,celsius,nominal
observation_5409a2e90d51d7ce,temperature_bedroom_01,temperature,2026-08-10T06:15:00+02:00,temperature,19.5,celsius,nominal
observation_84b9f4f9e80fdf3c,temperature_hallway_01,temperature,2026-08-10T06:15:00+02:00,temperature,19.5,celsius,nominal
observation_b4824c2bb513e556,temperature_kitchen_01,temperature,2026-08-10T06:15:00+02:00,temperature,19.5,celsius,nominal
observation_1e7ee1d67dbb2a4a,temperature_living_room_01,temperature,2026-08-10T06:15:00+02:00,temperature,19.5,celsius,nominal
observation_3a678121bf7123b7,temperature_bathroom_01,temperature,2026-08-10T06:30:00+02:00,temperature,19.5,celsius,nominal
observation_b99c17dce6ae23f4,temperature_bedroom_01,temperature,2026-08-10T06:30:00+02:00,temperature,19.5,celsius,nominal
observation_393c003002d905cf,temperature_hallway_01,temperature,2026-08-10T06:30:00+02:00,temperature,19.5,celsius,nominal
observation_45f757aac1b5524d,temperature_kitchen_01,temperature,2026-08-10T06:30:00+02:00,temperature,19.5,celsius,nominal
observation_9ff8960b18db13f8,temperature_living_room_01,temperature,2026-08-10T06:30:00+02:00,temperature,19.5,celsius,nominal
observation_3c3088db6f7427be,temperature_bathroom_01,temperature,2026-08-10T06:45:00+02:00,temperature,19.5,celsius,nominal
observation_8e7ec857b9310dcf,temperature_bedroom_01,temperature,2026-08-10T06:45:00+02:00,temperature,19.5,celsius,nominal
observation_67af15c11800737d,temperature_hallway_01,temperature,2026-08-10T06:45:00+02:00,temperature,19.5,celsius,nominal
observation_54e27ab45ec143be,temperature_kitchen_01,temperature,2026-08-10T06:45:00+02:00,temperature,19.5,celsius,nominal
observation_7b11ccf191c0a9a4,temperature_living_room_01,temperature,2026-08-10T06:45:00+02:00,temperature,19.5,celsius,nominal
observation_e2ea6142f1596857,pir_bedroom_01,pir,2026-08-10T06:46:15+02:00,motion,ON,,nominal
observation_661b871505eae175,pir_bedroom_01,pir,2026-08-10T06:46:20+02:00,motion,OFF,,nominal
observation_911d8f79ae86c749,pir_bedroom_01,pir,2026-08-10T06:46:23.603035+02:00,motion,ON,,nominal
observation_447815a78b1948c2,pir_bedroom_01,pir,2026-08-10T06:46:28.603035+02:00,motion,OFF,,nominal
observation_71035c838ebcf06e,pir_bedroom_01,pir,2026-08-10T06:46:31.032026+02:00,motion,ON,,nominal
observation_f2a0fdae6a984cc2,pir_bedroom_01,pir,2026-08-10T06:46:36.032026+02:00,motion,OFF,,nominal
observation_d7383622d4624663,pir_bedroom_01,pir,2026-08-10T06:46:36.532026+02:00,motion,ON,,nominal
observation_3ff88d80f223b28e,pir_bedroom_01,pir,2026-08-10T06:46:41.532026+02:00,motion,OFF,,nominal
observation_a4d38f7e39d7dc23,pir_bedroom_01,pir,2026-08-10T06:46:54.535743+02:00,motion,ON,,nominal
observation_a1c1acf8c0189f2f,pir_bedroom_01,pir,2026-08-10T06:46:59.535743+02:00,motion,OFF,,nominal
observation_5cfca29e913708bc,pir_bedroom_01,pir,2026-08-10T06:47:05.220147+02:00,motion,ON,,nominal
observation_2a74699ba0d7497a,pir_bedroom_01,pir,2026-08-10T06:47:10.220147+02:00,motion,OFF,,nominal
observation_eec088054d9fba6f,pir_bedroom_01,pir,2026-08-10T06:47:27.533618+02:00,motion,ON,,nominal
observation_41ea71246040c22e,pir_bedroom_01,pir,2026-08-10T06:47:30+02:00,motion,ON,,nominal
observation_be385d3f06e1e35f,pir_bedroom_01,pir,2026-08-10T06:47:30+02:00,motion,OFF,,nominal
observation_ef4311bda59b9366,pir_bedroom_01,pir,2026-08-10T06:47:35+02:00,motion,OFF,,nominal
observation_4c70a62e80dc289c,pir_bedroom_01,pir,2026-08-10T06:47:46.224626+02:00,motion,ON,,nominal
observation_fb3338af111c6d4b,pir_bedroom_01,pir,2026-08-10T06:47:51.224626+02:00,motion,OFF,,nominal
observation_f813c11795fff792,pir_bedroom_01,pir,2026-08-10T06:47:55.269364+02:00,motion,ON,,nominal
observation_e7a25c8c73d806a9,pir_bedroom_01,pir,2026-08-10T06:48:00.269364+02:00,motion,OFF,,nominal
observation_98a6849db06d1ef7,pir_bedroom_01,pir,2026-08-10T06:48:10.511469+02:00,motion,ON,,nominal
observation_e2dd019c80fde490,pir_bedroom_01,pir,2026-08-10T06:48:15.511469+02:00,motion,OFF,,nominal
observation_85ac59dd7d2db339,pir_bedroom_01,pir,2026-08-10T06:48:18.369666+02:00,motion,ON,,nominal
observation_8b7aea1d83956e2f,pir_bedroom_01,pir,2026-08-10T06:48:23.369666+02:00,motion,OFF,,nominal
observation_3e3aa26c897070dc,pir_bedroom_01,pir,2026-08-10T06:48:25.681139+02:00,motion,ON,,nominal
observation_3afa2d5864977762,pir_bedroom_01,pir,2026-08-10T06:48:30.681139+02:00,motion,OFF,,nominal
observation_15f6d9c05c8576e0,pir_bedroom_01,pir,2026-08-10T06:48:31.181139+02:00,motion,ON,,nominal
observation_d617fc25ed6a86f4,pir_bedroom_01,pir,2026-08-10T06:48:36.181139+02:00,motion,OFF,,nominal
observation_7131a84c817a7fe9,pir_bedroom_01,pir,2026-08-10T06:48:36.681139+02:00,motion,ON,,nominal
observation_23303fa9f6edcb40,pir_bedroom_01,pir,2026-08-10T06:48:41.681139+02:00,motion,OFF,,nominal
observation_44cd7a640fafa270,pir_bedroom_01,pir,2026-08-10T06:48:45+02:00,motion,ON,,nominal
observation_ab3747455b4a1aed,pir_bedroom_01,pir,2026-08-10T06:48:50+02:00,motion,OFF,,nominal
observation_fb929af0de7be375,pir_bedroom_01,pir,2026-08-10T06:49:07.673537+02:00,motion,ON,,nominal
observation_0aa0414eedf7377e,pir_bedroom_01,pir,2026-08-10T06:49:12.673537+02:00,motion,OFF,,nominal
observation_405ff564fa74ba2a,pir_bedroom_01,pir,2026-08-10T06:49:45.187491+02:00,motion,ON,,nominal
observation_04dca3d0c6f81ec7,pir_bedroom_01,pir,2026-08-10T06:49:50.187491+02:00,motion,OFF,,nominal
observation_e25ae8219e369f8e,pir_bedroom_01,pir,2026-08-10T06:50:00+02:00,motion,ON,,nominal
observation_85ac7c4d39599c33,pir_bathroom_01,pir,2026-08-10T06:50:01.666667+02:00,motion,ON,,nominal
observation_5786271b2549b7de,pir_bedroom_01,pir,2026-08-10T06:50:05+02:00,motion,OFF,,nominal
observation_ce78df6f737d4f99,pir_bathroom_01,pir,2026-08-10T06:50:06.666667+02:00,motion,OFF,,nominal
observation_667f5aa616045420,pir_bathroom_01,pir,2026-08-10T06:54:00+02:00,motion,ON,,nominal
observation_df0c21233189ba6e,pir_bathroom_01,pir,2026-08-10T06:54:05+02:00,motion,OFF,,nominal
observation_efda861625341898,pir_bathroom_01,pir,2026-08-10T06:54:06.822258+02:00,motion,ON,,nominal
observation_8cd418b8b7025bcb,pir_bathroom_01,pir,2026-08-10T06:54:11.822258+02:00,motion,OFF,,nominal
observation_3196e7f40b34dd7f,pir_bathroom_01,pir,2026-08-10T06:54:18.238050+02:00,motion,ON,,nominal
observation_ba2ff73116a5c2cb,pir_bathroom_01,pir,2026-08-10T06:54:23.238050+02:00,motion,OFF,,nominal
observation_db9f4c7ab627869c,pir_bathroom_01,pir,2026-08-10T06:54:33.110186+02:00,motion,ON,,nominal
observation_ca85c8a911785b75,pir_bathroom_01,pir,2026-08-10T06:54:38.110186+02:00,motion,OFF,,nominal
observation_9f369f7a39a89ee1,pir_bathroom_01,pir,2026-08-10T06:54:48.101833+02:00,motion,ON,,nominal
observation_99fe3a1bb8a12f5e,pir_bathroom_01,pir,2026-08-10T06:54:53.101833+02:00,motion,OFF,,nominal
observation_d47c043be5be6c3a,pir_bathroom_01,pir,2026-08-10T06:55:10.625984+02:00,motion,ON,,nominal
observation_4b033fd8750b2ef1,pir_bathroom_01,pir,2026-08-10T06:55:15.625984+02:00,motion,OFF,,nominal
observation_03655c05ed4e1d88,pir_bathroom_01,pir,2026-08-10T06:55:32.678241+02:00,motion,ON,,nominal
observation_31f67cf6fb8e6e73,pir_bathroom_01,pir,2026-08-10T06:55:37.678241+02:00,motion,OFF,,nominal
observation_0070cac4d3de4ef5,pir_bathroom_01,pir,2026-08-10T06:55:49.051535+02:00,motion,ON,,nominal
observation_370139622b6bba94,pir_bathroom_01,pir,2026-08-10T06:55:54.051535+02:00,motion,OFF,,nominal
observation_5080b5646478c9aa,pir_bathroom_01,pir,2026-08-10T06:56:13.937723+02:00,motion,ON,,nominal
observation_9b445da528c998b5,pir_bathroom_01,pir,2026-08-10T06:56:18.937723+02:00,motion,OFF,,nominal
observation_6172e059f70f5d76,pir_bathroom_01,pir,2026-08-10T06:56:28.340535+02:00,motion,ON,,nominal
observation_c8ab6452e8aa2cf0,pir_bathroom_01,pir,2026-08-10T06:56:33.340535+02:00,motion,OFF,,nominal
observation_d6fc1f9c959ee874,pir_bathroom_01,pir,2026-08-10T06:56:36.637448+02:00,motion,ON,,nominal
observation_4a38c0d7dbe662f2,pir_bathroom_01,pir,2026-08-10T06:56:41.637448+02:00,motion,OFF,,nominal
observation_a35af225f7b66563,pir_bathroom_01,pir,2026-08-10T06:56:45.918923+02:00,motion,ON,,nominal
observation_cfc0cf7e5f83d96e,pir_bathroom_01,pir,2026-08-10T06:56:50.918923+02:00,motion,OFF,,nominal
observation_c285bdedfbb6a568,pir_bathroom_01,pir,2026-08-10T06:57:02.212091+02:00,motion,ON,,nominal
observation_980a69e953e3e52f,pir_bathroom_01,pir,2026-08-10T06:57:07.212091+02:00,motion,OFF,,nominal
observation_637cc3f5afd0800c,pir_bathroom_01,pir,2026-08-10T06:57:17.375001+02:00,motion,ON,,nominal
observation_04d3fbed61527b7e,pir_bathroom_01,pir,2026-08-10T06:57:22.375001+02:00,motion,OFF,,nominal
observation_f7afad1cee66004b,pir_bathroom_01,pir,2026-08-10T06:57:25.475172+02:00,motion,ON,,nominal
observation_989ea584abd4b7cd,pir_bathroom_01,pir,2026-08-10T06:57:30.475172+02:00,motion,OFF,,nominal
observation_087b4f11f874a987,pir_bathroom_01,pir,2026-08-10T06:57:40.938835+02:00,motion,ON,,nominal
observation_231b8eb2f2032eea,pir_bathroom_01,pir,2026-08-10T06:57:45.938835+02:00,motion,OFF,,nominal
observation_e9e7619b98186f83,pir_bathroom_01,pir,2026-08-10T06:57:48.203238+02:00,motion,ON,,nominal
observation_04f089e1298b15f4,pir_bathroom_01,pir,2026-08-10T06:57:53.203238+02:00,motion,OFF,,nominal
observation_499491c9aa7b8c21,pir_bathroom_01,pir,2026-08-10T06:58:00+02:00,motion,ON,,nominal
observation_90e13cd70a9a28b2,pir_bathroom_01,pir,2026-08-10T06:58:05+02:00,motion,OFF,,nominal
observation_65adf368b1ee7bcf,pir_bathroom_01,pir,2026-08-10T06:58:10.318904+02:00,motion,ON,,nominal
observation_117041f7e286bc1a,pir_bathroom_01,pir,2026-08-10T06:58:15.318904+02:00,motion,OFF,,nominal
observation_24e6e0b546e6e252,pir_bathroom_01,pir,2026-08-10T06:58:19.911428+02:00,motion,ON,,nominal
observation_b05cc48e6188806d,pir_bathroom_01,pir,2026-08-10T06:58:24.911428+02:00,motion,OFF,,nominal
observation_f6459c0bf58c313b,pir_bathroom_01,pir,2026-08-10T06:58:45.607798+02:00,motion,ON,,nominal
observation_c032c4d580fd6f08,pir_bathroom_01,pir,2026-08-10T06:58:50.607798+02:00,motion,OFF,,nominal
observation_a44d74b52b5a1d99,pir_bathroom_01,pir,2026-08-10T06:58:54.960033+02:00,motion,ON,,nominal
observation_1058aeef6a7d88b5,pir_bathroom_01,pir,2026-08-10T06:58:59.960033+02:00,motion,OFF,,nominal
observation_4d1fcbf764c544e5,pir_bathroom_01,pir,2026-08-10T06:59:04.172913+02:00,motion,ON,,nominal
observation_61b04cb50d5dd197,pir_bathroom_01,pir,2026-08-10T06:59:09.172913+02:00,motion,OFF,,nominal
observation_7c6a305628086f96,pir_bathroom_01,pir,2026-08-10T06:59:16.246632+02:00,motion,ON,,nominal
observation_b63b79b8a5a6995b,pir_bathroom_01,pir,2026-08-10T06:59:21.246632+02:00,motion,OFF,,nominal
